timestamp_utc,batch_id,operational_state,WHP_WELL_A_bar,WHP_WELL_B_bar,ANNULUS_PRESS_bar,INJ_RATE_FT01_m3h,INJ_RATE_FT02_m3h,CO2_TOTAL_SENSOR_m3,CO2_TOTAL_CALC_m3,TEMP_SURF_01_degC,TEMP_SURF_02_degC,CO2_TRACER_01_ppm,WATER_FLOW_m3h,ENERGY_PER_TONNE_kWht,INGESTION_LATENCY_sec
2024-03-15 06:00:00,STR1-FAIL-2024-03-15,maintenance,142.231,142.729,117.298,86.71,85.648,3.064,2.89,48.88,22.96,45.18654319456802,12.48,178.048,14.2
2024-03-15 06:02:00,STR1-FAIL-2024-03-15,maintenance,142.93,143.788,122.752,86.998,88.606,6.138,5.79,49.806,22.987,45.92439916859672,12.493,177.431,6.1
2024-03-15 06:04:00,STR1-FAIL-2024-03-15,maintenance,143.003,143.459,124.011,86.79,85.766,9.204,8.683,50.446,23.134,45.93327269926344,12.338,178.127,23.9
2024-03-15 06:06:00,STR1-FAIL-2024-03-15,active_injection,142.97,143.765,121.309,86.499,86.842,12.261,11.567,48.602,23.261,45.589259327415206,12.289,177.279,11.6
2024-03-15 06:08:00,STR1-FAIL-2024-03-15,active_injection,142.666,143.501,120.221,86.268,88.324,15.309,14.442,50.633,23.39,45.93110022141274,12.352,176.796,13.3
2024-03-15 06:10:00,STR1-FAIL-2024-03-15,active_injection,142.617,143.508,120.315,85.996,86.956,18.347,17.309,49.777,23.198,,12.108,179.392,7.2
2024-03-15 06:12:00,STR1-FAIL-2024-03-15,active_injection,142.958,142.076,116.478,86.27,84.447,21.395,20.184,50.113,22.88,,12.135,177.099,2.0
2024-03-15 06:14:00,STR1-FAIL-2024-03-15,active_injection,142.588,143.195,119.584,85.864,86.715,24.429,23.046,48.668,22.621,,12.218,178.986,8.1
2024-03-15 06:16:00,STR1-FAIL-2024-03-15,active_injection,355.0,356.502,302.602,86.035,84.913,27.469,25.914,-14.721,22.342,45.28292240453501,12.241,178.191,18.6
2024-03-15 06:18:00,STR1-FAIL-2024-03-15,active_injection,143.066,142.658,118.937,86.205,85.444,30.515,28.788,50.134,22.333,45.66162256855282,12.439,178.521,6.4
