timestamp_utc,operational_state,FLOWRATE_1_m3h,FLOWRATE_2_m3h,FLOWRATE_3_m3h,TOTALISER_1_SENSOR_m3,TOTALISER_2_SENSOR_m3,TOTALISER_3_SENSOR_m3,TOTALISER_1_CALC_m3,TOTALISER_2_CALC_m3,TOTALISER_3_CALC_m3,WELL_PRESSURE_A_bar,WELL_PRESSURE_B_bar,WATER_CO2_RATIO
2024-03-14 08:00:00,active_injection,86.539,43.391,21.808,1.451,0.729,0.362,1.442,0.723,0.363,138.29,114.947,0.5014
2024-03-14 08:01:00,active_injection,86.545,43.416,21.895,2.902,1.458,0.725,2.885,1.447,0.728,137.757,115.037,0.5016
2024-03-14 08:02:00,active_injection,86.674,43.627,21.867,4.355,2.191,1.088,4.329,2.174,1.093,137.901,115.227,0.5033
2024-03-14 08:03:00,active_injection,86.707,43.392,21.737,5.809,2.92,1.449,5.774,2.897,1.455,137.871,115.631,0.5004
2024-03-14 08:04:00,active_injection,86.897,43.514,21.745,7.266,3.651,1.81,7.223,3.622,1.818,138.122,115.405,0.5007
2024-03-14 08:05:00,active_injection,87.173,43.297,21.732,8.728,4.379,2.171,8.676,4.344,2.18,138.184,115.917,0.4967
2024-03-14 08:06:00,active_injection,87.288,43.12,21.829,10.191,5.103,2.533,10.13,5.063,2.544,137.974,115.444,0.494
2024-03-14 08:07:00,active_injection,87.204,43.209,21.749,11.653,5.829,2.894,11.584,5.783,2.906,138.963,115.117,0.4955
2024-03-14 08:08:00,active_injection,87.129,42.891,21.87,13.114,6.55,3.257,13.036,6.498,3.271,138.518,115.09,0.4923
2024-03-14 08:09:00,active_injection,87.093,43.205,22.202,14.574,7.275,3.626,14.488,7.218,3.641,138.464,115.236,0.4961
2024-03-14 08:10:00,active_injection,86.885,43.061,22.287,16.031,7.999,3.996,15.936,7.935,4.012,137.702,115.299,0.4956
2024-03-14 08:11:00,active_injection,86.948,42.884,22.24,17.489,8.719,4.365,17.385,8.65,4.383,136.787,114.846,0.4932
2024-03-14 08:12:00,active_injection,87.321,42.753,22.402,18.953,9.438,4.737,18.84,9.363,4.756,136.975,115.383,0.4896
2024-03-14 08:13:00,active_injection,87.26,42.536,22.565,20.416,10.152,5.112,20.294,10.072,5.132,136.912,115.732,0.4875
2024-03-14 08:14:00,active_injection,87.288,42.408,22.39,21.88,10.865,5.483,21.749,10.778,5.505,136.82,115.509,0.4858
2024-03-14 08:15:00,active_injection,87.284,42.271,22.419,23.343,11.575,5.855,23.204,11.483,5.879,136.869,114.891,0.4843
2024-03-14 08:16:00,active_injection,87.274,42.236,22.387,24.806,12.284,6.227,24.658,12.187,6.252,137.563,114.702,0.4839
2024-03-14 08:17:00,active_injection,86.935,42.431,22.544,26.264,12.997,6.601,26.107,12.894,6.628,137.803,114.946,0.4881
2024-03-14 08:18:00,active_injection,86.785,42.613,22.18,27.719,13.713,6.969,27.554,13.604,6.997,137.467,114.907,0.491
2024-03-14 08:19:00,active_injection,86.938,42.867,21.979,29.177,14.433,7.334,29.003,14.319,7.364,137.33,114.479,0.4931
2024-03-14 08:20:00,active_injection,86.57,43.077,22.178,30.628,15.157,7.702,30.446,15.037,7.733,137.59,114.496,0.4976
2024-03-14 08:21:00,active_injection,87.095,43.195,21.801,32.089,15.883,8.064,31.897,15.757,8.097,137.496,114.841,0.4959
2024-03-14 08:22:00,active_injection,87.017,43.275,21.759,33.548,16.61,8.426,33.348,16.478,8.459,137.024,115.498,0.4973
2024-03-14 08:23:00,active_injection,87.265,43.544,21.768,35.011,17.341,8.787,34.802,17.204,8.822,137.404,115.72,0.499
2024-03-14 08:24:00,active_injection,86.897,43.426,21.983,36.468,18.071,9.152,36.25,17.927,9.189,137.737,115.797,0.4997
2024-03-14 08:25:00,active_injection,86.992,43.273,22.008,37.926,18.798,9.517,37.7,18.648,9.555,137.332,116.353,0.4974
2024-03-14 08:26:00,active_injection,87.326,43.256,21.85,39.39,19.524,9.88,39.156,19.369,9.92,137.844,116.404,0.4953
2024-03-14 08:27:00,active_injection,86.781,43.357,21.979,40.845,20.253,10.245,40.602,20.092,10.286,137.945,115.926,0.4996
2024-03-14 08:28:00,active_injection,87.09,43.183,22.218,42.306,20.978,10.614,42.053,20.812,10.656,138.005,115.808,0.4958
2024-03-14 08:29:00,active_injection,87.085,42.889,22.109,43.766,21.699,10.981,43.505,21.527,11.025,138.273,115.052,0.4925
2024-03-14 08:30:00,active_injection,87.294,42.755,22.127,45.229,22.417,11.348,44.96,22.239,11.393,138.282,114.899,0.4898
2024-03-14 08:31:00,active_injection,87.169,42.928,22.207,46.691,23.138,11.717,46.412,22.955,11.764,138.541,114.692,0.4925
2024-03-14 08:32:00,active_injection,87.147,43.22,22.367,48.152,23.864,12.088,47.865,23.675,12.136,138.069,114.757,0.4959
2024-03-14 08:33:00,active_injection,87.272,43.135,22.296,49.615,24.589,12.458,49.319,24.394,12.508,138.155,114.807,0.4942
2024-03-14 08:34:00,active_injection,87.629,43.215,22.125,51.085,25.315,12.825,50.78,25.114,12.877,138.543,114.552,0.4932
2024-03-14 08:35:00,active_injection,87.621,43.367,21.989,52.554,26.044,13.19,52.24,25.837,13.243,137.83,115.314,0.4949
2024-03-14 08:36:00,active_injection,87.576,43.329,22.031,54.022,26.772,13.556,53.7,26.559,13.61,137.777,115.666,0.4947
2024-03-14 08:37:00,active_injection,87.812,43.258,21.775,55.494,27.498,13.917,55.163,27.28,13.973,137.5,115.838,0.4926
2024-03-14 08:38:00,active_injection,87.916,43.307,21.454,56.968,28.226,14.274,56.629,28.002,14.331,137.105,115.672,0.4926
2024-03-14 08:39:00,active_injection,87.858,43.305,21.505,58.442,28.953,14.631,58.093,28.724,14.689,137.469,116.04,0.4929
2024-03-14 08:40:00,active_injection,87.399,43.415,21.519,59.907,29.683,14.988,59.55,29.447,15.048,137.238,116.197,0.4967
2024-03-14 08:41:00,active_injection,87.456,43.179,21.627,61.373,30.408,15.347,61.007,30.167,15.408,138.06,116.118,0.4937
2024-03-14 08:42:00,active_injection,87.417,43.514,21.561,62.839,31.139,15.705,62.464,30.892,15.768,137.965,115.405,0.4978
2024-03-14 08:43:00,active_injection,87.066,43.487,21.771,64.299,31.87,16.066,63.915,31.617,16.131,138.324,114.962,0.4995
2024-03-14 08:44:00,active_injection,86.874,43.217,21.804,65.755,32.596,16.428,65.363,32.337,16.494,138.74,115.173,0.4975
2024-03-14 08:45:00,active_injection,86.728,43.033,21.975,67.21,33.319,16.793,66.809,33.054,16.86,138.204,114.859,0.4962
2024-03-14 08:46:00,active_injection,86.55,43.028,22.014,68.661,34.042,17.158,68.251,33.771,17.227,137.786,114.396,0.4971
2024-03-14 08:47:00,active_injection,86.539,42.993,22.11,70.112,34.764,17.525,69.693,34.488,17.596,137.552,114.281,0.4968
2024-03-14 08:48:00,active_injection,86.426,42.989,22.196,71.561,35.486,17.894,71.134,35.204,17.966,137.787,114.742,0.4974
2024-03-14 08:49:00,active_injection,86.399,42.939,22.317,73.009,36.207,18.264,72.574,35.92,18.338,137.458,114.481,0.497
2024-03-14 08:50:00,active_injection,86.353,42.881,22.344,74.457,36.928,18.635,74.013,36.635,18.71,137.526,114.608,0.4966
2024-03-14 08:51:00,active_injection,86.771,42.957,22.197,75.912,37.65,19.004,75.459,37.351,19.08,137.905,114.865,0.4951
2024-03-14 08:52:00,active_injection,86.958,42.965,22.114,77.37,38.371,19.371,76.909,38.067,19.448,138.356,115.139,0.4941
2024-03-14 08:53:00,active_injection,86.723,42.901,21.969,78.824,39.092,19.735,78.354,38.782,19.815,138.46,114.943,0.4947
2024-03-14 08:54:00,active_injection,86.863,42.795,22.013,80.281,39.811,20.101,79.802,39.495,20.181,137.797,115.17,0.4927
2024-03-14 08:55:00,active_injection,86.913,42.551,22.13,81.738,40.526,20.468,81.25,40.204,20.55,137.919,115.537,0.4896
2024-03-14 08:56:00,active_injection,87.056,42.595,22.334,83.197,41.242,20.839,82.701,40.914,20.923,137.914,115.302,0.4893
2024-03-14 08:57:00,active_injection,86.63,42.655,22.321,84.65,41.958,21.209,84.145,41.625,21.295,137.565,115.359,0.4924
2024-03-14 08:58:00,active_injection,86.613,42.608,22.351,86.102,42.674,21.58,85.589,42.335,21.667,137.572,115.409,0.4919
2024-03-14 08:59:00,active_injection,86.777,42.878,22.443,87.557,43.394,21.953,87.035,43.05,22.041,137.339,115.416,0.4941
